,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
925,2021,7,1,Break and Enter Residential/Other,PM,Summer,Grandview-Woodland,4
926,2015,5,1,Break and Enter Residential/Other,AM,Spring,Dunbar-Southlands,1
927,2013,5,1,Break and Enter Commercial,AM,Spring,Kensington-Cedar Cottage,3
928,2015,4,1,Break and Enter Commercial,PM,Spring,Fairview,9
929,2019,4,1,Theft from Vehicle,AM,Spring,Kitsilano,10
930,2018,9,1,Theft of Bicycle,PM,Summer,Kitsilano,10
931,2016,6,1,Break and Enter Residential/Other,AM,Spring,Mount Pleasant,2
932,2016,9,1,Theft from Vehicle,AM,Summer,Victoria-Fraserview,1
933,2020,4,1,Mischief,AM,Spring,Dunbar-Southlands,1
934,2018,11,1,Mischief,AM,Autumn,Strathcona,14
935,2016,8,1,Offence Against a Person,AM,Summer,Fairview,9
936,2021,8,1,Break and Enter Residential/Other,AM,Summer,Victoria-Fraserview,1
937,2013,4,1,Mischief,AM,Spring,Arbutus Ridge,3
938,2014,12,1,Other Theft,AM,Autumn,Oakridge,1
939,2019,8,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Arbutus Ridge,1
940,2020,8,1,Theft of Bicycle,PM,Summer,Oakridge,2
941,2015,12,1,Theft from Vehicle,AM,Winter,South Cambie,2
942,2012,6,1,Other Theft,PM,Summer,West Point Grey,1
943,2016,3,1,Break and Enter Residential/Other,AM,Winter,West End,4
944,2019,8,1,Theft of Bicycle,AM,Summer,Grandview-Woodland,9
945,2017,4,1,Other Theft,PM,Spring,Dunbar-Southlands,7
946,2013,9,1,Other Theft,AM,Summer,Strathcona,10
947,2020,8,1,Break and Enter Residential/Other,PM,Summer,Killarney,1
948,2014,7,1,Break and Enter Commercial,AM,Summer,South Cambie,1
949,2021,12,1,Theft from Vehicle,PM,Autumn,Marpole,9
950,2016,4,1,Theft from Vehicle,AM,Spring,Kensington-Cedar Cottage,9
951,2019,7,1,Theft from Vehicle,AM,Summer,Shaughnessy,3
952,2018,5,1,Offence Against a Person,AM,Spring,Stanley Park,1
953,2020,2,1,Break and Enter Commercial,PM,Winter,Central Business District,25
954,2022,12,1,Other Theft,AM,Autumn,Shaughnessy,2
955,2019,12,1,Other Theft,PM,Autumn,Marpole,12
956,2012,8,1,Mischief,AM,Summer,Strathcona,12
957,2015,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,West End,6
958,2018,4,1,Break and Enter Residential/Other,PM,Spring,West Point Grey,1
959,2014,9,1,Break and Enter Commercial,AM,Summer,West End,7
960,2019,1,1,Theft from Vehicle,PM,Winter,Kerrisdale,6
961,2014,12,1,Theft from Vehicle,PM,Winter,Riley Park,7
962,2013,9,1,Theft from Vehicle,AM,Summer,Renfrew-Collingwood,4
963,2019,6,1,Other Theft,AM,Spring,Riley Park,3
964,2014,12,1,Theft from Vehicle,PM,Winter,Mount Pleasant,9
965,2021,2,1,Theft from Vehicle,PM,Winter,Sunset,15
966,2019,5,1,Break and Enter Residential/Other,PM,Spring,Renfrew-Collingwood,9
967,2021,11,1,Mischief,AM,Autumn,Marpole,4
968,2015,12,1,Break and Enter Commercial,AM,Winter,South Cambie,1
969,2014,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Fairview,2
970,2017,6,1,Offence Against a Person,AM,Spring,Kensington-Cedar Cottage,5
971,2013,10,1,Other Theft,PM,Autumn,Mount Pleasant,44
972,2017,12,1,Break and Enter Commercial,PM,Autumn,Central Business District,19
973,2021,11,1,Break and Enter Residential/Other,AM,Autumn,Kitsilano,1
974,2022,12,1,Break and Enter Commercial,PM,Winter,South Cambie,1
975,2015,3,1,Theft from Vehicle,AM,Spring,Renfrew-Collingwood,2
976,2018,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Kerrisdale,1
977,2012,9,1,Break and Enter Commercial,AM,Summer,Shaughnessy,1
978,2021,3,1,Theft from Vehicle,AM,Winter,Victoria-Fraserview,1
979,2021,7,1,Break and Enter Residential/Other,PM,Summer,Dunbar-Southlands,2
980,2013,7,1,Theft of Vehicle,AM,Summer,Central Business District,2
981,2015,2,1,Other Theft,AM,Winter,West End,12
982,2015,9,1,Break and Enter Commercial,PM,Autumn,Kitsilano,1
983,2017,3,1,Theft of Bicycle,PM,Spring,Arbutus Ridge,2
984,2018,12,1,Theft of Bicycle,AM,Autumn,Arbutus Ridge,2
985,2015,6,1,Theft from Vehicle,AM,Spring,Mount Pleasant,10
986,2015,7,1,Break and Enter Residential/Other,PM,Summer,Fairview,9
987,2017,12,1,Mischief,AM,Autumn,Strathcona,11
988,2019,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Victoria-Fraserview,2
989,2022,11,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,West End,2
990,2012,1,1,Theft of Vehicle,PM,Winter,Hastings-Sunrise,2
991,2014,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,West End,4
992,2017,12,1,Other Theft,AM,Autumn,Sunset,2
993,2013,9,1,Offence Against a Person,AM,Summer,South Cambie,1
994,2017,9,1,Offence Against a Person,AM,Autumn,Riley Park,1
995,2020,7,1,Other Theft,AM,Summer,Riley Park,4
996,2012,3,1,Break and Enter Residential/Other,PM,Winter,Marpole,8
997,2016,4,1,Theft of Vehicle,AM,Spring,Strathcona,7
998,2019,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Fairview,2
999,2022,6,1,Other Theft,PM,Spring,Killarney,5
1000,2021,11,1,Break and Enter Commercial,AM,Autumn,Strathcona,2
1001,2019,5,1,Offence Against a Person,AM,Spring,Stanley Park,3
1002,2018,2,1,Break and Enter Residential/Other,PM,Winter,Shaughnessy,6
1003,2013,2,1,Break and Enter Commercial,AM,Winter,Kitsilano,3
1004,2015,3,1,Break and Enter Residential/Other,PM,Winter,Grandview-Woodland,7
1005,2020,3,1,Mischief,PM,Spring,Central Business District,26
1006,2013,4,1,Break and Enter Residential/Other,AM,Spring,Killarney,3
1007,2015,10,1,Other Theft,PM,Autumn,Grandview-Woodland,25
1008,2014,9,1,Theft of Bicycle,PM,Summer,Riley Park,3
1009,2020,5,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Kensington-Cedar Cottage,4
1010,2016,10,1,Break and Enter Residential/Other,PM,Autumn,Kensington-Cedar Cottage,8
1011,2022,4,1,Break and Enter Residential/Other,PM,Spring,Kerrisdale,1
1012,2019,8,1,Theft of Bicycle,PM,Summer,Stanley Park,2
1013,2017,12,1,Theft of Vehicle,PM,Winter,Strathcona,3
1014,2012,12,1,Other Theft,AM,Winter,Kitsilano,3
1015,2017,3,1,Break and Enter Residential/Other,PM,Winter,Kensington-Cedar Cottage,2
1016,2017,6,1,Mischief,PM,Summer,Dunbar-Southlands,2
1017,2014,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Strathcona,1
1018,2013,6,1,Mischief,AM,Summer,Kitsilano,2
1019,2014,1,1,Theft of Vehicle,PM,Winter,Central Business District,4
1020,2022,3,1,Mischief,PM,Winter,Dunbar-Southlands,1
1021,2016,5,1,Offence Against a Person,AM,Spring,West End,28
1022,2016,12,1,Mischief,PM,Winter,Kerrisdale,3
1023,2017,11,1,Mischief,AM,Autumn,Arbutus Ridge,1
1024,2022,8,1,Break and Enter Commercial,AM,Summer,Arbutus Ridge,2
1025,2019,2,1,Other Theft,AM,Winter,Sunset,7
1026,2019,7,1,Theft of Bicycle,AM,Summer,Kitsilano,1
1027,2021,2,1,Offence Against a Person,AM,Winter,Central Business District,72
1028,2014,11,1,Theft from Vehicle,PM,Autumn,Mount Pleasant,39
1029,2022,2,1,Theft of Vehicle,AM,Winter,Killarney,3
1030,2017,3,1,Break and Enter Residential/Other,PM,Spring,Victoria-Fraserview,2
1031,2015,1,1,Theft from Vehicle,PM,Winter,West Point Grey,2
1032,2016,6,1,Other Theft,AM,Summer,Victoria-Fraserview,1
1033,2018,3,1,Mischief,AM,Winter,Hastings-Sunrise,3
1034,2020,12,1,Break and Enter Commercial,AM,Winter,South Cambie,1
1035,2022,10,1,Theft of Bicycle,AM,Autumn,Grandview-Woodland,1
1036,2014,2,1,Mischief,AM,Winter,Fairview,6
1037,2014,7,1,Theft from Vehicle,PM,Summer,Stanley Park,20
1038,2016,6,1,Offence Against a Person,AM,Spring,Sunset,4
1039,2019,6,1,Break and Enter Commercial,PM,Spring,Kitsilano,2
1040,2013,3,1,Theft from Vehicle,AM,Winter,Mount Pleasant,4
1041,2014,6,1,Break and Enter Commercial,AM,Spring,Sunset,3
1042,2016,9,1,Theft of Bicycle,PM,Autumn,Fairview,3
1043,2012,2,1,Theft from Vehicle,PM,Winter,Grandview-Woodland,16
1044,2020,12,1,Break and Enter Commercial,PM,Autumn,Central Business District,13
1045,2013,3,1,Other Theft,AM,Spring,Mount Pleasant,8
1046,2019,3,1,Mischief,PM,Winter,Kitsilano,9
1047,2022,7,1,Theft from Vehicle,PM,Summer,Killarney,2
1048,2021,5,1,Offence Against a Person,AM,Spring,West End,44
1049,2019,1,1,Other Theft,PM,Winter,Stanley Park,2
1050,2016,6,1,Offence Against a Person,AM,Summer,Oakridge,2
1051,2017,5,1,Theft of Vehicle,AM,Spring,Kitsilano,1
1052,2016,12,1,Break and Enter Residential/Other,PM,Winter,Dunbar-Southlands,2
1053,2014,11,1,Mischief,AM,Autumn,Marpole,5
1054,2017,6,1,Mischief,AM,Summer,Sunset,2
1055,2017,4,1,Theft of Bicycle,AM,Spring,Shaughnessy,1
1056,2012,5,1,Theft from Vehicle,AM,Spring,Central Business District,29
1057,2022,5,1,Break and Enter Commercial,AM,Spring,Dunbar-Southlands,2
1058,2013,3,1,Break and Enter Residential/Other,AM,Winter,Arbutus Ridge,1
1059,2014,5,1,Break and Enter Residential/Other,AM,Spring,West End,5
1060,2019,11,1,Theft of Bicycle,AM,Autumn,Kitsilano,7
1061,2016,2,1,Offence Against a Person,AM,Winter,Marpole,4
1062,2021,4,1,Other Theft,AM,Spring,Kerrisdale,1
1063,2019,8,1,Other Theft,AM,Summer,West End,47
1064,2018,6,1,Offence Against a Person,AM,Spring,Riley Park,1
1065,2022,6,1,Other Theft,PM,Summer,Dunbar-Southlands,2
1066,2013,4,1,Break and Enter Residential/Other,PM,Spring,Arbutus Ridge,6
1067,2012,5,1,Break and Enter Commercial,AM,Spring,Riley Park,1
1068,2020,3,1,Theft from Vehicle,AM,Winter,Killarney,6
1069,2014,4,1,Mischief,PM,Spring,Hastings-Sunrise,2
1070,2016,6,1,Theft from Vehicle,AM,Summer,Arbutus Ridge,3
1071,2022,7,1,Theft of Bicycle,AM,Summer,South Cambie,1
1072,2012,11,1,Other Theft,PM,Autumn,Victoria-Fraserview,8
1073,2015,1,1,Theft of Vehicle,AM,Winter,Kitsilano,1
1074,2014,7,1,Break and Enter Residential/Other,PM,Summer,West End,5
1075,2014,10,1,Other Theft,PM,Autumn,Oakridge,3
1076,2020,8,1,Offence Against a Person,AM,Summer,Sunset,17
1077,2016,3,1,Theft from Vehicle,AM,Winter,Riley Park,3
1078,2012,10,1,Mischief,AM,Autumn,Dunbar-Southlands,3
1079,2015,6,1,Break and Enter Residential/Other,PM,Spring,Hastings-Sunrise,3
1080,2015,3,1,Other Theft,PM,Spring,Oakridge,3
1081,2021,10,1,Mischief,PM,Autumn,Fairview,10
1082,2019,4,1,Break and Enter Residential/Other,AM,Spring,Oakridge,5
1083,2015,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Shaughnessy,2
1084,2022,8,1,Theft of Bicycle,AM,Summer,Kensington-Cedar Cottage,2
1085,2019,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Kerrisdale,1
1086,2017,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Shaughnessy,1
1087,2018,5,1,Other Theft,PM,Spring,Shaughnessy,5
1088,2022,4,1,Break and Enter Residential/Other,PM,Spring,Renfrew-Collingwood,2
1089,2021,9,1,Offence Against a Person,AM,Autumn,Riley Park,3
1090,2021,2,1,Break and Enter Commercial,PM,Winter,Dunbar-Southlands,1
1091,2017,9,1,Other Theft,AM,Summer,Riley Park,2
1092,2015,12,1,Mischief,PM,Autumn,Marpole,4
1093,2017,11,1,Theft from Vehicle,AM,Autumn,Mount Pleasant,23
1094,2018,12,1,Theft from Vehicle,PM,Winter,Kensington-Cedar Cottage,12
1095,2018,10,1,Theft from Vehicle,AM,Autumn,Kitsilano,13
1096,2022,11,1,Break and Enter Residential/Other,AM,Autumn,Oakridge,1
1097,2013,10,1,Theft of Vehicle,AM,Autumn,Grandview-Woodland,4
1098,2018,6,1,Other Theft,AM,Spring,Shaughnessy,1
1099,2012,12,1,Mischief,AM,Autumn,Marpole,3
1100,2015,11,1,Theft of Vehicle,AM,Autumn,Dunbar-Southlands,2
1101,2018,8,1,Other Theft,PM,Summer,Mount Pleasant,52
1102,2016,8,1,Theft of Bicycle,PM,Summer,West Point Grey,2
1103,2018,7,1,Theft of Vehicle,PM,Summer,Strathcona,8
1104,2013,11,1,Theft of Vehicle,PM,Autumn,Sunset,4
1105,2013,12,1,Theft of Vehicle,PM,Winter,Marpole,2
1106,2012,10,1,Theft of Vehicle,AM,Autumn,Shaughnessy,2
1107,2013,5,1,Theft of Vehicle,AM,Spring,Central Business District,1
1108,2018,4,1,Break and Enter Residential/Other,AM,Spring,South Cambie,1
1109,2016,7,1,Break and Enter Commercial,PM,Summer,Sunset,2
1110,2017,1,1,Theft of Vehicle,PM,Winter,West End,5
1111,2013,10,1,Offence Against a Person,AM,Autumn,Fairview,9
1112,2018,6,1,Offence Against a Person,AM,Spring,Kerrisdale,1
1113,2014,12,1,Mischief,PM,Winter,Grandview-Woodland,8
1114,2015,3,1,Break and Enter Commercial,AM,Winter,West End,11
1115,2022,4,1,Theft from Vehicle,PM,Spring,Shaughnessy,8
1116,2017,6,1,Other Theft,PM,Summer,Oakridge,1
1117,2013,3,1,Offence Against a Person,AM,Winter,Dunbar-Southlands,2
1118,2012,3,1,Break and Enter Residential/Other,PM,Spring,Dunbar-Southlands,6
1119,2013,3,1,Theft of Vehicle,PM,Winter,Marpole,1
1120,2012,3,1,Theft from Vehicle,AM,Winter,Shaughnessy,1
1121,2018,6,1,Theft from Vehicle,PM,Summer,Killarney,6
1122,2018,2,1,Break and Enter Residential/Other,PM,Winter,Grandview-Woodland,9
1123,2018,2,1,Break and Enter Residential/Other,AM,Winter,Renfrew-Collingwood,3
1124,2021,3,1,Theft from Vehicle,PM,Winter,Kitsilano,9
1125,2014,11,1,Theft of Vehicle,PM,Autumn,Sunset,5
1126,2022,8,1,Theft from Vehicle,PM,Summer,South Cambie,2
1127,2022,6,1,Break and Enter Commercial,AM,Spring,Victoria-Fraserview,3
1128,2015,8,1,Other Theft,PM,Summer,Stanley Park,15
1129,2017,5,1,Mischief,AM,Spring,Strathcona,14
1130,2016,3,1,Theft from Vehicle,PM,Winter,Central Business District,155
1131,2019,8,1,Other Theft,PM,Summer,Arbutus Ridge,5
1132,2018,10,1,Mischief,AM,Autumn,Victoria-Fraserview,1
1133,2017,6,1,Break and Enter Commercial,AM,Spring,Marpole,2
1134,2015,6,1,Other Theft,PM,Spring,South Cambie,5
1135,2015,2,1,Theft of Vehicle,PM,Winter,Kensington-Cedar Cottage,2
1136,2019,2,1,Mischief,PM,Winter,Arbutus Ridge,2
1137,2018,1,1,Break and Enter Commercial,AM,Winter,Kitsilano,2
1138,2012,4,1,Vehicle Collision or Pedestrian Struck (with Fatality),AM,Spring,Hastings-Sunrise,1
1139,2014,9,1,Theft from Vehicle,PM,Autumn,Mount Pleasant,12
1140,2022,1,1,Other Theft,PM,Winter,Victoria-Fraserview,6
1141,2022,11,1,Other Theft,AM,Autumn,Central Business District,79
1142,2015,6,1,Break and Enter Residential/Other,PM,Spring,Dunbar-Southlands,4
1143,2015,8,1,Offence Against a Person,AM,Summer,Arbutus Ridge,1
1144,2012,3,1,Theft from Vehicle,PM,Winter,Musqueam,3
1145,2012,12,1,Break and Enter Residential/Other,AM,Autumn,West End,5
1146,2021,6,1,Mischief,PM,Spring,Kerrisdale,1
1147,2019,8,1,Theft from Vehicle,AM,Summer,Mount Pleasant,33
1148,2014,1,1,Break and Enter Residential/Other,AM,Winter,Marpole,6
1149,2020,11,1,Mischief,AM,Autumn,Hastings-Sunrise,11
1150,2015,11,1,Theft of Vehicle,AM,Autumn,Riley Park,1
1151,2014,11,1,Other Theft,PM,Autumn,Mount Pleasant,44
1152,2021,6,1,Theft of Bicycle,AM,Spring,Mount Pleasant,4
1153,2018,2,1,Mischief,AM,Winter,Killarney,3
1154,2022,7,1,Break and Enter Residential/Other,AM,Summer,Kitsilano,4
1155,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,South Cambie,1
1156,2013,3,1,Other Theft,AM,Winter,Sunset,5
1157,2017,2,1,Break and Enter Residential/Other,AM,Winter,Mount Pleasant,2
1158,2016,7,1,Theft from Vehicle,PM,Summer,South Cambie,7
1159,2018,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Kerrisdale,1
1160,2017,4,1,Mischief,PM,Spring,Fairview,18
1161,2022,12,1,Theft of Vehicle,PM,Winter,Grandview-Woodland,3
1162,2012,12,1,Break and Enter Residential/Other,AM,Winter,Killarney,2
1163,2016,11,1,Offence Against a Person,AM,Autumn,Renfrew-Collingwood,13
1164,2022,3,1,Theft of Vehicle,AM,Spring,Marpole,1
1165,2018,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Killarney,1
1166,2019,10,1,Theft of Bicycle,AM,Autumn,South Cambie,3
1167,2012,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Central Business District,7
1168,2019,12,1,Mischief,AM,Autumn,Fairview,6
1169,2022,9,1,Theft of Vehicle,PM,Autumn,Renfrew-Collingwood,1
1170,2021,12,1,Break and Enter Commercial,AM,Winter,Marpole,3
1171,2022,2,1,Other Theft,PM,Winter,Killarney,6
1172,2015,11,1,Theft of Vehicle,AM,Autumn,Grandview-Woodland,5
1173,2013,7,1,Break and Enter Residential/Other,AM,Summer,Mount Pleasant,11
1174,2015,5,1,Theft from Vehicle,PM,Spring,West End,45
1175,2014,6,1,Break and Enter Residential/Other,AM,Spring,Marpole,1
1176,2019,6,1,Mischief,AM,Summer,Sunset,1
1177,2021,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Fairview,1
1178,2019,3,1,Mischief,AM,Spring,Riley Park,1
1179,2012,12,1,Mischief,PM,Winter,Oakridge,3
1180,2019,4,1,Mischief,PM,Spring,Oakridge,3
1181,2017,10,1,Break and Enter Commercial,PM,Autumn,Victoria-Fraserview,2
1182,2016,9,1,Mischief,PM,Autumn,Arbutus Ridge,1
1183,2013,3,1,Theft from Vehicle,PM,Winter,Kitsilano,21
1184,2014,12,1,Break and Enter Residential/Other,PM,Autumn,Strathcona,2
1185,2014,7,1,Break and Enter Residential/Other,PM,Summer,Kitsilano,8
1186,2016,2,1,Break and Enter Residential/Other,AM,Winter,Dunbar-Southlands,3
1187,2015,3,1,Break and Enter Residential/Other,PM,Winter,Oakridge,3
1188,2012,5,1,Theft of Bicycle,PM,Spring,Killarney,1
1189,2021,11,1,Break and Enter Commercial,PM,Autumn,Fairview,2
1190,2014,1,1,Mischief,PM,Winter,Victoria-Fraserview,5
1191,2018,3,1,Theft of Bicycle,PM,Spring,Killarney,1
1192,2022,12,1,Theft of Bicycle,PM,Autumn,Strathcona,1
1193,2016,11,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,West End,3
1194,2014,9,1,Break and Enter Commercial,PM,Summer,Killarney,1
1195,2016,6,1,Mischief,AM,Summer,Mount Pleasant,3
1196,2012,2,1,Theft of Bicycle,PM,Winter,Riley Park,4
1197,2020,2,1,Break and Enter Residential/Other,AM,Winter,Dunbar-Southlands,3
1198,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Victoria-Fraserview,2
1199,2013,4,1,Break and Enter Residential/Other,AM,Spring,Renfrew-Collingwood,4
1200,2022,11,1,Break and Enter Commercial,AM,Autumn,Central Business District,27
1201,2014,3,1,Theft of Vehicle,PM,Spring,Hastings-Sunrise,1
1202,2017,3,1,Other Theft,PM,Spring,Sunset,5
1203,2016,1,1,Break and Enter Residential/Other,PM,Winter,West Point Grey,3
1204,2017,12,1,Other Theft,AM,Autumn,South Cambie,1
1205,2012,1,1,Break and Enter Residential/Other,PM,Winter,Mount Pleasant,7
1206,2012,4,1,Offence Against a Person,AM,Spring,Fairview,6
1207,2013,3,1,Theft of Bicycle,AM,Winter,Fairview,1
1208,2022,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Central Business District,2
1209,2022,6,1,Theft from Vehicle,PM,Summer,West Point Grey,1
1210,2014,6,1,Offence Against a Person,AM,Spring,Hastings-Sunrise,4
1211,2012,9,1,Mischief,AM,Autumn,Mount Pleasant,3
1212,2020,12,1,Theft from Vehicle,PM,Autumn,Riley Park,12
1213,2014,3,1,Break and Enter Commercial,AM,Winter,West End,4
1214,2016,8,1,Theft from Vehicle,AM,Summer,Stanley Park,1
1215,2022,5,1,Break and Enter Residential/Other,AM,Spring,Oakridge,3
1216,2021,3,1,Other Theft,PM,Winter,Sunset,13
1217,2013,3,1,Theft from Vehicle,AM,Spring,Shaughnessy,3
1218,2016,1,1,Mischief,AM,Winter,Oakridge,3
1219,2020,2,1,Break and Enter Residential/Other,PM,Winter,Riley Park,6
1220,2012,12,1,Other Theft,PM,Autumn,Strathcona,13
1221,2022,9,1,Break and Enter Residential/Other,PM,Autumn,Shaughnessy,1
1222,2017,3,1,Theft from Vehicle,AM,Spring,Renfrew-Collingwood,4
1223,2020,5,1,Break and Enter Commercial,PM,Spring,Grandview-Woodland,4
1224,2020,5,1,Break and Enter Commercial,PM,Spring,Kerrisdale,3
1225,2020,3,1,Theft from Vehicle,PM,Spring,Grandview-Woodland,8
1226,2021,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Central Business District,1
1227,2019,3,1,Break and Enter Residential/Other,AM,Spring,Arbutus Ridge,1
1228,2014,12,1,Theft from Vehicle,PM,Winter,Victoria-Fraserview,7
1229,2015,9,1,Theft of Vehicle,PM,Autumn,Kerrisdale,1
1230,2014,12,1,Other Theft,PM,Winter,Oakridge,2
1231,2016,2,1,Break and Enter Residential/Other,AM,Winter,Mount Pleasant,5
1232,2020,2,1,Break and Enter Residential/Other,PM,Winter,Sunset,1
1233,2013,12,1,Theft of Vehicle,PM,Autumn,Victoria-Fraserview,1
1234,2014,10,1,Break and Enter Commercial,AM,Autumn,Strathcona,7
1235,2015,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Victoria-Fraserview,2
1236,2018,7,1,Theft of Bicycle,AM,Summer,Sunset,3
1237,2015,7,1,Theft of Bicycle,AM,Summer,Riley Park,3
1238,2018,5,1,Theft from Vehicle,AM,Spring,Hastings-Sunrise,20
1239,2012,10,1,Theft from Vehicle,PM,Autumn,Stanley Park,6
1240,2021,10,1,Break and Enter Commercial,PM,Autumn,Oakridge,1
1241,2020,6,1,Break and Enter Residential/Other,AM,Spring,Renfrew-Collingwood,3
1242,2014,5,1,Break and Enter Residential/Other,PM,Spring,Kensington-Cedar Cottage,13
1243,2013,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Mount Pleasant,8
1244,2019,8,1,Theft of Bicycle,AM,Summer,Kensington-Cedar Cottage,3
1245,2019,7,1,Offence Against a Person,AM,Summer,Victoria-Fraserview,6
1246,2012,1,1,Other Theft,AM,Winter,Kitsilano,10
1247,2016,2,1,Other Theft,AM,Winter,Riley Park,2
1248,2014,12,1,Theft of Vehicle,PM,Autumn,West End,1
1249,2012,12,1,Mischief,PM,Autumn,Dunbar-Southlands,1
1250,2015,3,1,Mischief,PM,Winter,Grandview-Woodland,13
1251,2013,5,1,Mischief,PM,Spring,Riley Park,11
1252,2014,1,1,Other Theft,PM,Winter,Kerrisdale,3
1253,2014,5,1,Break and Enter Commercial,AM,Spring,Grandview-Woodland,7
1254,2014,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Strathcona,6
1255,2014,3,1,Theft of Bicycle,AM,Winter,West End,2
1256,2016,6,1,Theft of Vehicle,PM,Spring,Grandview-Woodland,4
1257,2022,1,1,Break and Enter Commercial,PM,Winter,Mount Pleasant,5
1258,2014,9,1,Theft of Bicycle,AM,Summer,Central Business District,15
1259,2012,10,1,Other Theft,PM,Autumn,Strathcona,31
1260,2019,5,1,Mischief,AM,Spring,West End,16
1261,2022,2,1,Mischief,PM,Winter,West Point Grey,1
1262,2015,9,1,Theft from Vehicle,PM,Summer,Strathcona,20
1263,2022,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kensington-Cedar Cottage,3
1264,2014,9,1,Break and Enter Commercial,AM,Summer,Arbutus Ridge,1
1265,2015,2,1,Break and Enter Commercial,AM,Winter,West End,10
1266,2013,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Killarney,4
1267,2017,7,1,Break and Enter Residential/Other,AM,Summer,Killarney,3
1268,2020,3,1,Theft of Vehicle,AM,Winter,Central Business District,4
1269,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,West End,4
1270,2019,8,1,Break and Enter Commercial,AM,Summer,Kitsilano,4
1271,2022,11,1,Other Theft,PM,Autumn,Kensington-Cedar Cottage,18
1272,2014,4,1,Break and Enter Residential/Other,PM,Spring,Shaughnessy,6
1273,2018,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Sunset,3
1274,2019,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Killarney,2
1275,2013,12,1,Mischief,PM,Autumn,Grandview-Woodland,17
1276,2019,4,1,Break and Enter Residential/Other,PM,Spring,Shaughnessy,4
1277,2015,3,1,Break and Enter Commercial,PM,Winter,Kitsilano,4
1278,2012,12,1,Break and Enter Commercial,PM,Autumn,Mount Pleasant,3
1279,2019,7,1,Other Theft,PM,Summer,Kerrisdale,3
1280,2022,4,1,Offence Against a Person,AM,Spring,Grandview-Woodland,13
1281,2014,1,1,Theft from Vehicle,PM,Winter,Kensington-Cedar Cottage,42
1282,2021,1,1,Other Theft,PM,Winter,South Cambie,1
1283,2020,6,1,Break and Enter Commercial,PM,Summer,Fairview,1
1284,2017,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Victoria-Fraserview,3
1285,2014,3,1,Mischief,PM,Winter,Marpole,2
1286,2017,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Grandview-Woodland,3
1287,2012,9,1,Other Theft,PM,Autumn,Grandview-Woodland,3
1288,2019,3,1,Theft of Vehicle,AM,Spring,Sunset,1
1289,2013,6,1,Mischief,PM,Spring,Victoria-Fraserview,2
1290,2021,6,1,Theft of Vehicle,AM,Summer,Marpole,1
1291,2017,1,1,Mischief,PM,Winter,Riley Park,4
1292,2022,2,1,Mischief,AM,Winter,Marpole,3
1293,2019,9,1,Break and Enter Residential/Other,AM,Summer,Renfrew-Collingwood,4
1294,2016,5,1,Other Theft,PM,Spring,Hastings-Sunrise,10
1295,2012,9,1,Break and Enter Commercial,PM,Summer,Hastings-Sunrise,2
1296,2014,4,1,Break and Enter Commercial,PM,Spring,Sunset,2
1297,2016,10,1,Other Theft,PM,Autumn,West End,89
1298,2022,8,1,Break and Enter Residential/Other,AM,Summer,Renfrew-Collingwood,2
1299,2016,2,1,Mischief,AM,Winter,Shaughnessy,1
