,TYPE,YEAR,MONTH,NEIGHBOURHOOD,Lat,Long,SEASON
515,Theft of Bicycle,2022,9,West End,49.27845237734197,-123.13033939467248,Summer
516,Theft from Vehicle,2019,7,Central Business District,49.280401490449385,-123.11159767876316,Summer
517,Other Theft,2022,10,Central Business District,49.28009237772795,-123.11775437080684,Autumn
518,Theft from Vehicle,2019,5,Fairview,49.25871839849301,-123.1267654006256,Spring
519,Theft of Vehicle,2021,8,Sunset,49.21103041106318,-123.08412216838164,Summer
520,Theft from Vehicle,2021,10,West End,49.28283122888166,-123.12358324478352,Autumn
521,Other Theft,2022,3,Killarney,49.205965008695934,-123.03240836789428,Winter
522,Mischief,2018,9,Renfrew-Collingwood,49.25404797731265,-123.0386754900358,Autumn
523,Mischief,2020,12,Central Business District,49.28494099436201,-123.11539830243672,Winter
524,Theft from Vehicle,2020,4,Fairview,49.26050616611381,-123.12315284545208,Spring
525,Mischief,2020,3,Central Business District,49.28365715861227,-123.120031817101,Winter
526,Theft of Bicycle,2018,6,Riley Park,49.24092098540907,-123.10528670713911,Spring
527,Theft from Vehicle,2021,8,West End,49.2817643300689,-123.13540316844065,Summer
528,Theft from Vehicle,2018,10,Central Business District,49.278416930448095,-123.11850683198767,Autumn
529,Break and Enter Commercial,2020,11,West Point Grey,49.26348568728834,-123.18757594892072,Autumn
530,Other Theft,2022,12,Central Business District,49.28023389171553,-123.1147846307172,Autumn
531,Mischief,2021,1,Hastings-Sunrise,49.27131940921213,-123.04974252447718,Winter
532,Other Theft,2021,8,West End,49.28028528732061,-123.1274579381558,Summer
533,Theft from Vehicle,2021,8,Shaughnessy,49.23407984451447,-123.12932936296431,Summer
534,Mischief,2021,3,Strathcona,49.27543475508136,-123.09913876408018,Winter
535,Other Theft,2018,8,Mount Pleasant,49.269919693358645,-123.10080745097386,Summer
536,Other Theft,2021,9,Marpole,49.21101647758681,-123.1067041118916,Summer
537,Theft from Vehicle,2019,10,Central Business District,49.27629119001294,-123.13418493554566,Autumn
538,Theft from Vehicle,2022,6,Central Business District,49.28276349544941,-123.11192240492272,Summer
539,Other Theft,2018,2,Mount Pleasant,49.25993549600475,-123.10115098528276,Winter
540,Theft from Vehicle,2018,3,Central Business District,49.28433289118616,-123.1124353659369,Winter
541,Theft of Vehicle,2018,9,Sunset,49.210327616876896,-123.09108147449716,Summer
542,Theft from Vehicle,2019,11,Central Business District,49.28336561382449,-123.10655763761628,Autumn
543,Mischief,2018,6,Riley Park,49.248771299773566,-123.10107070619448,Spring
544,Mischief,2020,3,Central Business District,49.28155885421225,-123.12146200360536,Spring
545,Theft from Vehicle,2018,1,Kensington-Cedar Cottage,49.25099341726178,-123.0693592156834,Winter
546,Theft from Vehicle,2022,12,West End,49.28510080222158,-123.12552944631766,Winter
547,Other Theft,2021,7,Kitsilano,49.27439908163777,-123.15259214436252,Summer
548,Theft from Vehicle,2019,5,West End,49.28307168241987,-123.125262494984,Spring
549,Theft from Vehicle,2019,7,Mount Pleasant,49.25697368590463,-123.085456809681,Summer
550,Theft from Vehicle,2020,1,Central Business District,49.28264643650777,-123.10514902506458,Winter
551,Other Theft,2022,1,Mount Pleasant,49.26414876066305,-123.11469396171276,Winter
552,Vehicle Collision or Pedestrian Struck (with Injury),2020,8,Kitsilano,49.27266764964085,-123.16009917063104,Summer
553,Other Theft,2020,3,Strathcona,49.28123173470104,-123.095309323995,Winter
554,Other Theft,2022,5,West End,49.2811957793218,-123.12826771780152,Spring
555,Other Theft,2022,7,West End,49.28422282871547,-123.13543172732132,Summer
556,Mischief,2022,3,Central Business District,49.27969277249751,-123.11731279949156,Winter
557,Break and Enter Residential/Other,2021,4,Hastings-Sunrise,49.27914312449288,-123.0534195324996,Spring
558,Theft from Vehicle,2018,6,Strathcona,49.28134739791195,-123.0996871014291,Spring
559,Other Theft,2019,5,Central Business District,49.27706025074474,-123.12239501657312,Spring
560,Other Theft,2020,11,Strathcona,49.27098801004549,-123.08272085025604,Autumn
561,Theft of Bicycle,2018,8,Fairview,49.2622806010708,-123.11757020648248,Summer
562,Other Theft,2022,9,West End,49.2859081763165,-123.1396344430462,Autumn
563,Theft from Vehicle,2019,1,Strathcona,49.283036898516,-123.0914079993046,Winter
564,Other Theft,2019,5,West End,49.283644765393326,-123.13065512869132,Spring
565,Theft from Vehicle,2021,2,Kitsilano,49.2634814978469,-123.18589869945107,Winter
566,Mischief,2021,6,Central Business District,49.28094148358246,-123.10712794545483,Summer
567,Theft from Vehicle,2019,5,Kitsilano,49.26764713459424,-123.17616974490764,Spring
568,Other Theft,2018,11,Central Business District,49.28441482356251,-123.11238282767351,Autumn
569,Theft of Bicycle,2020,6,Kitsilano,49.27439908163777,-123.15259214436252,Summer
570,Theft from Vehicle,2019,11,Central Business District,49.28647914486911,-123.1179203165461,Autumn
571,Other Theft,2019,4,Grandview-Woodland,49.27116755017863,-123.06956847390153,Spring
572,Other Theft,2018,6,Riley Park,49.24766306595456,-123.0902284773226,Spring
573,Theft of Bicycle,2020,10,Riley Park,49.256551581481474,-123.10222356177404,Autumn
574,Other Theft,2019,1,Central Business District,49.287484181748006,-123.12025751214009,Winter
575,Other Theft,2021,5,Kerrisdale,49.22922032297825,-123.16899319923996,Spring
576,Mischief,2018,8,Central Business District,49.27952384495785,-123.10676646474008,Summer
577,Theft from Vehicle,2019,7,West End,49.29219289845931,-123.13439839945846,Summer
578,Mischief,2021,10,West End,49.28628030397881,-123.12734065421247,Autumn
579,Break and Enter Commercial,2021,6,Sunset,49.211030953830175,-123.08330124888263,Spring
580,Theft from Vehicle,2022,9,Kitsilano,49.26322645114075,-123.17215041359944,Summer
581,Theft from Vehicle,2019,11,Mount Pleasant,49.26824119843398,-123.10275290003084,Autumn
582,Break and Enter Residential/Other,2022,10,Shaughnessy,49.23664377917135,-123.13023238619536,Autumn
583,Mischief,2021,7,Central Business District,49.279513975365774,-123.1012224668616,Summer
584,Theft from Vehicle,2019,1,Strathcona,49.27859111238439,-123.09839149898094,Winter
585,Theft from Vehicle,2018,2,Mount Pleasant,49.26835101527527,-123.10950162840288,Winter
586,Other Theft,2020,3,South Cambie,49.23487131043121,-123.11637706940266,Winter
587,Other Theft,2021,8,Central Business District,49.28806665581086,-123.12253001999966,Summer
588,Theft from Vehicle,2019,2,Central Business District,49.28891575171963,-123.12092490480352,Winter
589,Vehicle Collision or Pedestrian Struck (with Injury),2021,7,Central Business District,49.281795913415095,-123.10727495573305,Summer
590,Theft from Vehicle,2018,5,Fairview,49.2633467070829,-123.12542273179685,Spring
591,Other Theft,2020,11,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Autumn
592,Other Theft,2022,5,Dunbar-Southlands,49.25599732024501,-123.18519512294996,Spring
593,Theft from Vehicle,2022,5,West End,49.28944015960108,-123.13240589034288,Spring
594,Theft of Bicycle,2022,5,Central Business District,49.27964689824439,-123.12041419981662,Spring
595,Theft from Vehicle,2019,12,Renfrew-Collingwood,49.24299989545319,-123.03167453125488,Winter
596,Theft from Vehicle,2020,9,West End,49.28478845915745,-123.1229366438762,Summer
597,Theft from Vehicle,2018,12,Marpole,49.210152912262366,-123.1167875106539,Winter
598,Other Theft,2020,4,West End,49.284964207272,-123.12742181858046,Spring
599,Mischief,2019,6,Riley Park,49.24933927159431,-123.09619492470313,Summer
600,Other Theft,2020,12,Kitsilano,49.276209098609584,-123.1476639005948,Autumn
601,Theft from Vehicle,2020,5,Kitsilano,49.266760313864815,-123.1778488433839,Spring
602,Break and Enter Residential/Other,2020,10,Central Business District,49.29254949583005,-123.13062973488708,Autumn
603,Mischief,2021,6,Sunset,49.23092465306155,-123.10355917428156,Summer
604,Other Theft,2018,8,Central Business District,49.28405739833009,-123.1139818936776,Summer
605,Other Theft,2022,12,Fairview,49.27108675551482,-123.13402929566632,Winter
606,Theft from Vehicle,2019,3,Killarney,49.23170552019084,-123.02365316468556,Winter
607,Theft of Bicycle,2021,2,Central Business District,49.28182569821888,-123.11713860016307,Winter
608,Break and Enter Commercial,2018,7,Central Business District,49.28034099262959,-123.11760706043594,Summer
609,Theft from Vehicle,2020,12,Victoria-Fraserview,49.22940679808509,-123.05907790046264,Autumn
610,Theft of Vehicle,2021,8,Central Business District,49.281462712243965,-123.1032762982113,Summer
611,Mischief,2018,4,Central Business District,49.279252551672265,-123.1021102664655,Spring
612,Theft from Vehicle,2019,8,West End,49.28656615286352,-123.1386577795944,Summer
613,Mischief,2020,5,West End,49.290974990363146,-123.14209751254394,Spring
614,Theft of Bicycle,2019,5,Hastings-Sunrise,49.26539733949721,-123.04437358419024,Spring
615,Other Theft,2019,6,Central Business District,49.28253946086779,-123.11814249232724,Spring
616,Theft from Vehicle,2021,1,Central Business District,49.286242276162135,-123.1151812806708,Winter
617,Theft from Vehicle,2019,8,West End,49.29234082838765,-123.13425525461776,Summer
618,Other Theft,2019,12,Mount Pleasant,49.27164122873991,-123.10038180125548,Autumn
619,Theft from Vehicle,2019,3,Kensington-Cedar Cottage,49.23326624070351,-123.06555672950776,Winter
620,Other Theft,2021,3,Central Business District,49.28044050752459,-123.1004392382896,Spring
621,Mischief,2022,4,Central Business District,49.28878191137935,-123.11771331296836,Spring
622,Break and Enter Commercial,2021,12,Kitsilano,49.25804709419784,-123.18493812236775,Autumn
623,Other Theft,2019,7,Central Business District,49.2738465057436,-123.11892785162198,Summer
624,Other Theft,2018,11,Central Business District,49.28389889071806,-123.11670522276012,Autumn
625,Other Theft,2022,8,Renfrew-Collingwood,49.25816391274642,-123.03694953865468,Summer
626,Other Theft,2022,10,Riley Park,49.24331859850869,-123.10856068938764,Autumn
627,Theft from Vehicle,2021,4,Fairview,49.26323335282893,-123.13849178138928,Spring
628,Theft of Bicycle,2022,10,West End,49.28309895119102,-123.14188120265716,Autumn
629,Mischief,2019,9,Central Business District,49.28127245369957,-123.10897615795248,Autumn
630,Theft of Bicycle,2021,6,Oakridge,49.220966017413495,-123.12383049279008,Spring
631,Vehicle Collision or Pedestrian Struck (with Injury),2020,5,Riley Park,49.24797949001815,-123.10112846717298,Spring
632,Theft from Vehicle,2018,7,Riley Park,49.25205828925811,-123.09715146406847,Summer
633,Theft from Vehicle,2018,7,Kensington-Cedar Cottage,49.24336414796626,-123.0789789402294,Summer
634,Theft from Vehicle,2020,4,Marpole,49.215945134873095,-123.13407054601858,Spring
635,Theft of Bicycle,2018,7,Grandview-Woodland,49.27897753701665,-123.0656662656824,Summer
636,Break and Enter Residential/Other,2019,10,Victoria-Fraserview,49.229463653685485,-123.06084009676002,Autumn
637,Break and Enter Residential/Other,2019,5,Strathcona,49.27518682723822,-123.08942283482884,Spring
638,Theft from Vehicle,2018,12,West End,49.28593261196215,-123.12693254317357,Autumn
639,Other Theft,2022,1,Kitsilano,49.26728212711487,-123.15684404812288,Winter
640,Theft of Bicycle,2019,12,Strathcona,49.277457440385305,-123.08601522004112,Autumn
641,Mischief,2022,4,Victoria-Fraserview,49.23122387965456,-123.06688652769004,Spring
642,Other Theft,2020,2,Strathcona,49.28400804031003,-123.09691700437187,Winter
643,Break and Enter Commercial,2019,6,Central Business District,49.27946652658228,-123.12004185905442,Summer
644,Other Theft,2022,9,Oakridge,49.22531273180705,-123.11826952899592,Summer
645,Theft of Bicycle,2022,5,West End,49.29077759477525,-123.13652710331938,Spring
646,Other Theft,2022,3,Central Business District,49.28376489548408,-123.10639923188704,Winter
647,Other Theft,2022,3,Grandview-Woodland,49.2731132380426,-123.05789649881667,Spring
648,Theft from Vehicle,2018,3,Mount Pleasant,49.26454958651512,-123.1009942105351,Winter
649,Other Theft,2019,12,Central Business District,49.27967666934903,-123.10768652332293,Winter
650,Mischief,2022,11,West End,49.28140309057324,-123.12645079901408,Autumn
651,Theft from Vehicle,2018,12,Central Business District,49.28246772422974,-123.1182103167794,Autumn
652,Theft from Vehicle,2019,10,Kensington-Cedar Cottage,49.243015239317565,-123.076285028233,Autumn
653,Other Theft,2022,10,Central Business District,49.28203995527481,-123.12078124596351,Autumn
654,Theft of Bicycle,2018,8,Kitsilano,49.263742300685344,-123.14814190087344,Summer
655,Other Theft,2020,2,Fairview,49.26497089860264,-123.11486549978372,Winter
656,Break and Enter Commercial,2019,9,Fairview,49.26505214890318,-123.11728284292664,Summer
657,Mischief,2020,1,Kitsilano,49.26765011242544,-123.17968883688032,Winter
658,Break and Enter Residential/Other,2022,5,Strathcona,49.27337283817433,-123.08268381041393,Spring
659,Theft from Vehicle,2019,6,West End,49.288913937846615,-123.1294381001177,Summer
660,Break and Enter Residential/Other,2020,6,West Point Grey,49.260001715168976,-123.1987404720494,Spring
661,Break and Enter Residential/Other,2021,6,Kitsilano,49.26249540294516,-123.18522281143667,Spring
662,Other Theft,2020,1,Riley Park,49.243329422221606,-123.10853798607222,Winter
663,Theft from Vehicle,2020,4,Shaughnessy,49.25319516403472,-123.14711915080656,Spring
664,Vehicle Collision or Pedestrian Struck (with Injury),2022,4,Oakridge,49.22930542688841,-123.12824464858568,Spring
665,Other Theft,2019,12,Central Business District,49.28139490308641,-123.11968666538311,Autumn
666,Other Theft,2022,4,Central Business District,49.278353445824045,-123.11288681227305,Spring
667,Theft of Bicycle,2018,4,Marpole,49.20853222927145,-123.14386616729404,Spring
668,Mischief,2019,10,Hastings-Sunrise,49.282025076963954,-123.05168678509204,Autumn
669,Mischief,2022,12,Oakridge,49.22619691350901,-123.1204648276256,Autumn
670,Other Theft,2018,10,South Cambie,49.256122416890825,-123.11516232750571,Autumn
671,Other Theft,2019,12,Central Business District,49.286912945185534,-123.12489361812952,Autumn
672,Other Theft,2020,3,Oakridge,49.2287079736133,-123.1145642082828,Winter
673,Break and Enter Residential/Other,2020,7,Mount Pleasant,49.259610833479655,-123.11492643353697,Summer
674,Other Theft,2019,4,Central Business District,49.28020205042773,-123.12167116586096,Spring
675,Theft from Vehicle,2019,6,Victoria-Fraserview,49.22574522284949,-123.0657970983692,Summer
676,Mischief,2019,4,Central Business District,49.28469064887804,-123.11487641958574,Spring
677,Theft from Vehicle,2022,10,Hastings-Sunrise,49.27407299347541,-123.02599161036262,Autumn
678,Break and Enter Residential/Other,2021,7,Arbutus Ridge,49.25751807641272,-123.166576579715,Summer
679,Other Theft,2019,11,Marpole,49.21045755476874,-123.11601815209,Autumn
680,Theft from Vehicle,2018,6,Central Business District,49.28238256208888,-123.1020162355368,Summer
681,Mischief,2020,8,Strathcona,49.28129125667222,-123.0987206516662,Summer
682,Mischief,2018,1,Hastings-Sunrise,49.284628825224566,-123.05646347970064,Winter
683,Other Theft,2019,8,Central Business District,49.28389889071806,-123.11670522276012,Summer
684,Other Theft,2022,7,Central Business District,49.27777769109306,-123.110926123643,Summer
685,Other Theft,2021,9,Central Business District,49.280048578458654,-123.11768632077266,Autumn
686,Vehicle Collision or Pedestrian Struck (with Injury),2018,4,Kensington-Cedar Cottage,49.23890563782466,-123.0587426737898,Spring
687,Mischief,2021,6,Central Business District,49.28172599815903,-123.11347540029024,Summer
688,Mischief,2019,6,Strathcona,49.28131398284224,-123.0953073458208,Spring
689,Theft from Vehicle,2022,3,Central Business District,49.28049246683676,-123.1043787710122,Winter
690,Other Theft,2020,11,Central Business District,49.28201681453328,-123.12074485438858,Autumn
691,Theft of Vehicle,2020,10,Strathcona,49.28123173470104,-123.095309323995,Autumn
692,Mischief,2022,2,Kitsilano,49.27249794984262,-123.15192214027752,Winter
693,Mischief,2019,12,Central Business District,49.27890965095733,-123.12346270007258,Winter
694,Other Theft,2022,11,Fairview,49.26046290356058,-123.11646479698274,Autumn
695,Mischief,2020,12,Kensington-Cedar Cottage,49.26127378420106,-123.06361547503292,Winter
696,Theft from Vehicle,2020,11,Fairview,49.26249547105788,-123.12740710757672,Autumn
697,Theft from Vehicle,2019,11,Central Business District,49.278550728520095,-123.10517322678264,Autumn
698,Theft of Vehicle,2020,7,Mount Pleasant,49.26368148599424,-123.09778954555728,Summer
699,Break and Enter Commercial,2020,10,Mount Pleasant,49.2619112431921,-123.09724123086636,Autumn
700,Other Theft,2020,3,Grandview-Woodland,49.28657541360562,-123.05919316024357,Spring
701,Break and Enter Residential/Other,2019,12,Oakridge,49.22341596862109,-123.12533188198468,Autumn
702,Mischief,2019,4,Oakridge,49.2257722618436,-123.1084670507354,Spring
703,Vehicle Collision or Pedestrian Struck (with Injury),2019,6,Central Business District,49.28386101502778,-123.12025967231892,Summer
704,Theft from Vehicle,2018,12,Mount Pleasant,49.2682273058478,-123.10269062010012,Winter
705,Theft from Vehicle,2022,9,Central Business District,49.284421500917176,-123.11331196332792,Summer
706,Mischief,2018,12,West End,49.27835969664898,-123.13028809455976,Autumn
707,Mischief,2019,4,Oakridge,49.22476776545162,-123.12833248097424,Spring
708,Theft of Bicycle,2018,4,Central Business District,49.281377281068345,-123.1031205999158,Spring
709,Theft from Vehicle,2018,6,West End,49.28107419918009,-123.13454918671512,Spring
710,Mischief,2019,4,Central Business District,49.2798532037458,-123.11429665516536,Spring
711,Theft from Vehicle,2022,1,Renfrew-Collingwood,49.23487926306623,-123.03671322486828,Winter
712,Mischief,2021,10,Central Business District,49.283906714305154,-123.11671721220344,Autumn
713,Theft from Vehicle,2021,8,Mount Pleasant,49.26724055687831,-123.09871913096168,Summer
714,Theft from Vehicle,2020,7,South Cambie,49.25354100011654,-123.12561128901628,Summer
715,Other Theft,2019,2,Central Business District,49.28249095893962,-123.10959668790282,Winter
716,Other Theft,2020,12,Central Business District,49.27953281489264,-123.12252023774109,Autumn
717,Theft of Bicycle,2022,9,Victoria-Fraserview,49.20820150996133,-123.0697582674112,Summer
718,Break and Enter Commercial,2018,6,Central Business District,49.28061240776474,-123.104309921302,Spring
719,Other Theft,2018,9,Mount Pleasant,49.26497594112221,-123.11467914987053,Autumn
720,Theft from Vehicle,2018,2,West End,49.28762385316593,-123.14016129569389,Winter
721,Mischief,2020,2,Kerrisdale,49.2284222701691,-123.15221715710254,Winter
722,Mischief,2019,8,Fairview,49.26352400407097,-123.13862389558712,Summer
723,Mischief,2020,10,Central Business District,49.27857670948915,-123.12213642311993,Autumn
724,Mischief,2019,3,Central Business District,49.27628530032749,-123.1098693472969,Spring
725,Theft of Bicycle,2019,8,Fairview,49.26355636578829,-123.1393465403986,Summer
726,Vehicle Collision or Pedestrian Struck (with Injury),2020,6,Central Business District,49.28462438059605,-123.1214303181743,Spring
727,Theft from Vehicle,2018,11,Oakridge,49.22546665383492,-123.13340989278429,Autumn
728,Other Theft,2019,9,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Summer
729,Mischief,2018,4,West End,49.29116383581847,-123.14344437369348,Spring
730,Vehicle Collision or Pedestrian Struck (with Injury),2018,1,Kensington-Cedar Cottage,49.25259531040375,-123.07600457647084,Winter
731,Other Theft,2019,6,Central Business District,49.2748512962402,-123.11289588506934,Summer
732,Break and Enter Residential/Other,2018,2,Riley Park,49.2519339373872,-123.0940976682718,Winter
733,Theft of Vehicle,2018,6,Kensington-Cedar Cottage,49.24722722142524,-123.06642535213446,Spring
734,Theft from Vehicle,2018,2,Central Business District,49.28042769185747,-123.1022080288812,Winter
735,Mischief,2021,7,Central Business District,49.28443971066523,-123.10184007808822,Summer
736,Other Theft,2019,10,Fairview,49.26358905304103,-123.13537996833612,Autumn
737,Other Theft,2022,6,Grandview-Woodland,49.2811357012306,-123.06185916111674,Summer
738,Other Theft,2021,2,Central Business District,49.279737587890125,-123.10753823163247,Winter
739,Theft from Vehicle,2020,9,West Point Grey,49.26175576405087,-123.18870009987384,Summer
740,Break and Enter Residential/Other,2018,4,Sunset,49.22755345930276,-123.0992489517001,Spring
741,Theft from Vehicle,2019,1,Central Business District,49.283987616641554,-123.10720727636628,Winter
742,Theft from Vehicle,2020,12,Kensington-Cedar Cottage,49.251795134939314,-123.08500978416588,Autumn
743,Break and Enter Commercial,2022,2,Central Business District,49.28352881963859,-123.10426099377337,Winter
744,Other Theft,2019,9,Strathcona,49.270747333766046,-123.07867536530831,Summer
745,Theft from Vehicle,2022,1,Central Business District,49.282458402653134,-123.10415536285956,Winter
746,Mischief,2021,1,Mount Pleasant,49.264985555426726,-123.11467891786876,Winter
747,Theft of Bicycle,2020,5,Shaughnessy,49.25125962621148,-123.14580217701526,Spring
748,Other Theft,2019,6,Central Business District,49.28222588422294,-123.11281513397454,Spring
749,Other Theft,2018,4,Central Business District,49.28772356032336,-123.11428975378142,Spring
750,Theft from Vehicle,2019,6,Grandview-Woodland,49.266343722841206,-123.0773490667366,Spring
751,Theft from Vehicle,2022,3,West End,49.28478936260959,-123.14028823093145,Spring
752,Theft from Vehicle,2018,3,Killarney,49.2177534021756,-123.02852114915936,Spring
753,Theft of Bicycle,2020,8,Grandview-Woodland,49.27219764253795,-123.07251238667172,Summer
754,Other Theft,2018,4,Central Business District,49.27868791069362,-123.12379311900318,Spring
755,Theft from Vehicle,2018,4,Hastings-Sunrise,49.277429508630895,-123.05453370063432,Spring
756,Theft from Vehicle,2022,9,Strathcona,49.28185059598321,-123.09946610771556,Summer
757,Mischief,2020,4,Central Business District,49.28170527376962,-123.10534860213887,Spring
758,Mischief,2020,2,Mount Pleasant,49.27062613003259,-123.10269217889996,Winter
759,Theft from Vehicle,2019,4,Strathcona,49.28033579846687,-123.09730410001012,Spring
760,Other Theft,2022,1,Sunset,49.22709620536865,-123.09064519715425,Winter
761,Theft from Vehicle,2021,9,Central Business District,49.283987616641554,-123.10720727636628,Summer
762,Other Theft,2018,10,Central Business District,49.27913139027145,-123.12313227680453,Autumn
763,Other Theft,2021,6,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Summer
764,Mischief,2019,4,Strathcona,49.28299145378659,-123.0913456965208,Spring
765,Theft from Vehicle,2019,10,Grandview-Woodland,49.28029518751866,-123.0725978688882,Autumn
766,Other Theft,2019,10,Strathcona,49.28040879762426,-123.09898099430092,Autumn
767,Other Theft,2019,8,West End,49.28390936393112,-123.12368809532744,Summer
768,Other Theft,2019,9,Central Business District,49.28201989857067,-123.12083990011772,Summer
769,Theft from Vehicle,2019,3,Kensington-Cedar Cottage,49.24367066744134,-123.06446887569534,Winter
770,Theft from Vehicle,2019,9,West End,49.28309895119102,-123.14188120265716,Summer
771,Theft from Vehicle,2019,1,Sunset,49.21267147756855,-123.10206726786242,Winter
772,Theft from Vehicle,2021,1,Mount Pleasant,49.25842569798232,-123.1031845996245,Winter
773,Theft from Vehicle,2019,3,Stanley Park,49.30082340351008,-123.1302463826868,Spring
774,Theft of Vehicle,2022,5,Renfrew-Collingwood,49.23648072224146,-123.05308131310755,Spring
775,Theft of Bicycle,2021,9,Killarney,49.20679963094495,-123.0441403130548,Summer
776,Theft from Vehicle,2018,6,Sunset,49.219174266693535,-123.0976222925358,Summer
777,Mischief,2020,4,Sunset,49.21980371297791,-123.08347157688895,Spring
778,Mischief,2018,10,Kerrisdale,49.23186598457794,-123.16939447737045,Autumn
779,Other Theft,2020,11,Kerrisdale,49.215079733653454,-123.15247613351518,Autumn
780,Other Theft,2020,2,Strathcona,49.28298542475464,-123.0908659724252,Winter
781,Theft from Vehicle,2019,11,West End,49.289348003853945,-123.13415387549584,Autumn
782,Break and Enter Commercial,2019,9,Strathcona,49.27860214602228,-123.0991877874787,Summer
783,Theft from Vehicle,2020,3,Renfrew-Collingwood,49.23512088638103,-123.0304290898127,Spring
784,Mischief,2018,6,Central Business District,49.283389449775946,-123.09960862630766,Spring
785,Theft from Vehicle,2020,2,Renfrew-Collingwood,49.25808011940919,-123.03735865993576,Winter
786,Mischief,2019,8,Central Business District,49.28139813225543,-123.10014512471253,Summer
787,Other Theft,2019,2,Mount Pleasant,49.26930820334154,-123.10280655424522,Winter
788,Theft of Bicycle,2022,10,West End,49.28683139325423,-123.13050506890912,Autumn
789,Break and Enter Commercial,2020,2,Central Business District,49.27985063431343,-123.10829101298845,Winter
790,Theft of Vehicle,2021,4,Kitsilano,49.2672161950454,-123.150419194395,Spring
791,Mischief,2022,1,Hastings-Sunrise,49.28117897986135,-123.02403211938326,Winter
792,Other Theft,2018,1,Central Business District,49.2804556700812,-123.10106100844986,Winter
793,Break and Enter Commercial,2022,7,Mount Pleasant,49.26279452859688,-123.10022743139714,Summer
794,Theft from Vehicle,2022,9,Victoria-Fraserview,49.23113023498605,-123.0515630290552,Autumn
795,Break and Enter Commercial,2022,5,Mount Pleasant,49.2610391863069,-123.09838259964933,Spring
796,Theft from Vehicle,2020,9,Central Business District,49.28077659002594,-123.1057306595948,Summer
797,Other Theft,2019,12,Strathcona,49.28134739791314,-123.09968710005415,Autumn
798,Other Theft,2022,1,Renfrew-Collingwood,49.2395205162756,-123.03069853528206,Winter
799,Other Theft,2020,3,Hastings-Sunrise,49.27906659329295,-123.05645653976887,Winter
800,Theft from Vehicle,2018,9,Kitsilano,49.271782300585365,-123.15972779519348,Summer
801,Mischief,2018,12,Renfrew-Collingwood,49.23328544984049,-123.02808067314974,Winter
802,Theft from Vehicle,2018,11,Victoria-Fraserview,49.22017385258229,-123.06139674990706,Autumn
803,Theft from Vehicle,2018,10,Central Business District,49.278539342997725,-123.11820668849953,Autumn
804,Theft from Vehicle,2019,5,Kensington-Cedar Cottage,49.24235369842845,-123.05916109999283,Spring
805,Mischief,2021,9,Fairview,49.26341474929191,-123.12971081422772,Autumn
806,Other Theft,2019,11,West End,49.28354643264424,-123.12312484848508,Autumn
807,Mischief,2022,8,West End,49.27961724938345,-123.1322155583087,Summer
808,Mischief,2019,8,Hastings-Sunrise,49.273217079231,-123.04350605860829,Summer
809,Theft from Vehicle,2018,7,West End,49.28709514219747,-123.1253033992221,Summer
810,Mischief,2018,12,West Point Grey,49.25904360536885,-123.19082474959762,Autumn
811,Theft from Vehicle,2019,1,Central Business District,49.28028570256433,-123.11954195817094,Winter
812,Other Theft,2021,4,Riley Park,49.23507206189378,-123.10154420550872,Spring
813,Theft from Vehicle,2020,7,Strathcona,49.27943559858922,-123.09718870021376,Summer
814,Theft from Vehicle,2019,1,Central Business District,49.27777279787176,-123.11748949981832,Winter
815,Break and Enter Commercial,2022,1,Central Business District,49.27594087886052,-123.11496585294724,Winter
816,Break and Enter Residential/Other,2019,8,Kitsilano,49.25915456816662,-123.15012326645116,Summer
817,Break and Enter Residential/Other,2022,3,Strathcona,49.28288235867205,-123.095401908864,Winter
818,Theft from Vehicle,2019,11,South Cambie,49.234322242079095,-123.11790551549169,Autumn
819,Theft from Vehicle,2022,2,Shaughnessy,49.23905855140245,-123.14946686098952,Winter
820,Other Theft,2018,3,Renfrew-Collingwood,49.25820970778204,-123.02647774844183,Winter
821,Theft from Vehicle,2022,5,Central Business District,49.28199321692045,-123.11123579855546,Spring
822,Theft from Vehicle,2018,7,Shaughnessy,49.2561490436723,-123.14087264643324,Summer
823,Theft from Vehicle,2018,5,Victoria-Fraserview,49.21014188278482,-123.05683322008026,Spring
824,Break and Enter Commercial,2019,5,Strathcona,49.284033920856245,-123.0935925548494,Spring
825,Theft from Vehicle,2020,7,Grandview-Woodland,49.28189415582708,-123.07269807682704,Summer
826,Other Theft,2022,3,Mount Pleasant,49.26428013324409,-123.1010673877677,Winter
827,Mischief,2021,1,West Point Grey,49.27504855656533,-123.21234762664514,Winter
828,Theft from Vehicle,2019,5,Central Business District,49.284142698639805,-123.11707868095787,Spring
829,Other Theft,2018,1,Central Business District,49.28252635860801,-123.1181221428289,Winter
830,Break and Enter Residential/Other,2018,11,Victoria-Fraserview,49.21729128087541,-123.05068132885378,Autumn
831,Other Theft,2020,8,Central Business District,49.28094148358246,-123.10712794545483,Summer
832,Other Theft,2021,2,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Winter
833,Other Theft,2019,6,Central Business District,49.28156089788019,-123.11006630034936,Spring
834,Theft from Vehicle,2022,3,Sunset,49.22061842755594,-123.08632077625498,Spring
